Kemayoran,,,,,,,Priok,,,,,,,Halim,,,,,,,Bogor,,,,,,,
TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,TANGGAL,RR,FF_X,DDD_X,FF_AVG,DDD_CAR,,KETERANGAN:
11/11/2024,0,5,330,1,C,,11/11/2024,8888,4,160,1,C,,11/11/2024,-,-,-,0,-,,11/11/2024,21.5,9,200,3,C,,
11/12/2024,5.6,3,320,1,C,,11/12/2024,2.5,4,70,2,C,,11/12/2024,-,-,-,0,-,,11/12/2024,86.7,9,350,3,C,,
11/13/2024,1.2,5,310,1,C,,11/13/2024,0,6,20,3,E,,11/13/2024,-,-,-,0,-,,11/13/2024,0.1,13,60,3,C,,
11/14/2024,0,5,320,1,C,,11/14/2024,0.1,5,20,2,C,,11/14/2024,-,-,-,0,-,,11/14/2024,0,7,25,2,C,,
11/15/2024,0,4,10,1,C,,11/15/2024,0,5,30,2,C,,11/15/2024,-,-,-,0,-,,11/15/2024,59.6,8,280,2,C,,
11/16/2024,1,4,320,1,C,,11/16/2024,0,3,260,1,C,,11/16/2024,-,-,-,0,-,,11/16/2024,10.4,16,360,2,C,,
11/17/2024,7.2,5,310,1,C,,11/17/2024,43.6,4,40,2,NE,,11/17/2024,-,-,-,0,-,,11/17/2024,14.7,10,40,2,C,,
11/18/2024,17.8,6,320,2,C,,11/18/2024,0,5,20,2,C,,11/18/2024,-,-,-,0,-,,11/18/2024,14.7,6,160,2,C,,
11/19/2024,0,5,320,1,C,,11/19/2024,0,4,250,2,W,,11/19/2024,-,-,-,0,-,,11/19/2024,14.4,7,30,3,C,,
11/20/2024,8,4,250,1,C,,11/20/2024,8888,6,300,2,C,,11/20/2024,-,-,-,0,-,,11/20/2024,59.7,15,320,2,C,,
11/21/2024,0,7,330,1,C,,11/21/2024,8888,5,280,2,W,,11/21/2024,-,-,-,0,-,,11/21/2024,24.1,7,185,2,C,,
11/22/2024,0,6,270,2,C,,11/22/2024,0,5,260,2,C,,11/22/2024,-,-,-,0,-,,11/22/2024,15.8,8,180,2,C,,
11/23/2024,0,3,270,1,C,,11/23/2024,0,5,300,3,W,,11/23/2024,-,-,-,0,-,,11/23/2024,6.6,9,170,2,C,,
11/24/2024,0,5,310,1,C,,11/24/2024,0,5,250,2,W,,11/24/2024,-,-,-,0,-,,11/24/2024,3.7,9,295,2,C,,
11/25/2024,0,6,250,2,C,,11/25/2024,0,6,260,2,SW,,11/25/2024,-,-,-,0,-,,11/25/2024,11.5,12,192,2,C,,
11/26/2024,0,5,330,1,C,,11/26/2024,0,4,300,1,C,,11/26/2024,-,-,-,0,-,,11/26/2024,0.7,8,350,1,C,,
11/27/2024,1.6,6,340,1,C,,11/27/2024,0,6,330,2,C,,11/27/2024,-,-,-,0,-,,11/27/2024,44.3,6,280,2,C,,
11/28/2024,50,5,240,2,W,,11/28/2024,6,6,260,3,W,,11/28/2024,-,-,-,0,-,,11/28/2024,72.1,7,150,2,C,,
11/29/2024,0.6,10,260,2,C,,11/29/2024,1.3,7,270,4,W,,11/29/2024,-,-,-,0,-,,11/29/2024,0.5,9,270,2,C,,
11/30/2024,0,5,230,2,W,,11/30/2024,8888,6,260,3,W,,11/30/2024,-,-,-,0,-,,11/30/2024,0,6,270,2,C,,
12/1/2024,0.6,6,220,3,SW,,12/1/2024,8888,8,260,4,W,,12/1/2024,-,-,-,0,-,,12/1/2024,1.2,7,260,3,NE,,
12/2/2024,5,8,100,3,W,,12/2/2024,1.6,8,270,5,W,,12/2/2024,-,-,-,0,-,,12/2/2024,0.8,9,270,3,C,,
12/3/2024,26,6,270,2,C,,12/3/2024,13,10,270,5,W,,12/3/2024,-,-,-,0,-,,12/3/2024,15.8,10,240,2,C,,
12/4/2024,4,5,250,2,W,,12/4/2024,12,7,250,4,W,,12/4/2024,-,-,-,0,-,,12/4/2024,1.5,7,27,1,C,,
12/5/2024,10.4,5,260,1,C,,12/5/2024,0.7,9,320,4,W,,12/5/2024,-,-,-,0,-,,12/5/2024,3.9,13,260,4,C,,
12/6/2024,48.2,3,200,0,C,,12/6/2024,63.4,4,270,1,C,,12/6/2024,-,-,-,0,-,,12/6/2024,11.7,7,280,1,C,,
12/7/2024,8888,3,330,0,C,,12/7/2024,8888,3,210,1,C,,12/7/2024,-,-,-,0,-,,12/7/2024,0.1,7,50,1,C,,
12/8/2024,30.4,5,320,1,C,,12/8/2024,19,4,300,1,C,,12/8/2024,-,-,-,0,-,,12/8/2024,8.7,7,255,2,C,,
12/9/2024,0,3,30,0,C,,12/9/2024,2.5,4,250,1,C,,12/9/2024,-,-,-,0,-,,12/9/2024,2.2,3,150,1,C,,
12/10/2024,26,6,260,3,W,,12/10/2024,26.4,6,260,3,W,,12/10/2024,-,-,-,0,-,,12/10/2024,26.1,11,270,2,C,,
12/11/2024,0.7,5,320,1,C,,12/11/2024,0.4,6,250,3,W,,12/11/2024,-,-,-,0,-,,12/11/2024,27.7,11,270,5,W,,
12/12/2024,1,6,250,2,W,,12/12/2024,0,8,270,4,W,,12/12/2024,-,-,-,0,-,,12/12/2024,10.7,15,260,7,W,,
12/13/2024,0,4,320,1,C,,12/13/2024,0,7,300,4,W,,12/13/2024,-,-,-,0,-,,12/13/2024,8888,11,220,6,SW,,
12/14/2024,0,7,220,2,W,,12/14/2024,8888,6,260,3,W,,12/14/2024,-,-,-,0,-,,12/14/2024,8.1,13,250,4,SW,,
12/15/2024,0,3,300,1,C,,12/15/2024,4.5,8,290,2,W,,12/15/2024,-,-,-,0,-,,12/15/2024,4.3,11,224,4,S,,
12/16/2024,18.5,4,220,1,C,,12/16/2024,20.3,7,260,3,W,,12/16/2024,-,-,-,0,-,,12/16/2024,0.5,7,200,2,C,,
12/17/2024,6.5,3,180,1,C,,12/17/2024,3,5,260,2,W,,12/17/2024,-,-,-,0,-,,12/17/2024,20,9,280,3,C,,
12/18/2024,8888,4,300,2,W,,12/18/2024,8888,6,260,3,W,,12/18/2024,-,-,-,0,-,,12/18/2024,0,12,350,3,C,,
12/19/2024,1.2,5,220,1,C,,12/19/2024,2.8,7,260,2,W,,12/19/2024,-,-,-,0,-,,12/19/2024,5.3,10,314,4,NW,,
12/20/2024,56,3,230,1,C,,12/20/2024,9,5,270,3,W,,12/20/2024,-,-,-,0,-,,12/20/2024,18.1,8,245,3,C,,
12/21/2024,10.2,6,270,2,C,,12/21/2024,5.8,5,300,2,W,,12/21/2024,-,-,-,0,-,,12/21/2024,14.8,11,287,2,C,,
12/22/2024,19,4,330,1,C,,12/22/2024,11.4,4,300,1,C,,12/22/2024,-,-,-,0,-,,12/22/2024,10.9,7,150,1,C,,
12/23/2024,43.8,4,300,1,C,,12/23/2024,22,4,300,1,C,,12/23/2024,-,-,-,0,-,,12/23/2024,13.5,9,350,1,C,,
12/24/2024,17,3,330,1,C,,12/24/2024,22.5,5,270,2,W,,12/24/2024,-,-,-,0,-,,12/24/2024,9.9,5,250,2,C,,
12/25/2024,3.4,3,280,1,C,,12/25/2024,4,3,270,1,C,,12/25/2024,-,-,-,0,-,,12/25/2024,1.1,9,260,2,C,,
12/26/2024,8.2,6,240,1,C,,12/26/2024,0,5,260,3,W,,12/26/2024,-,-,-,0,-,,12/26/2024,14,11,270,2,C,,
12/27/2024,0,5,280,2,C,,12/27/2024,0,5,260,3,W,,12/27/2024,-,-,-,0,-,,12/27/2024,0,8,320,2,C,,
12/28/2024,0,4,300,2,C,,12/28/2024,0,6,300,2,NW,,12/28/2024,-,-,-,0,-,,12/28/2024,8888,9,20,2,C,,
12/29/2024,0,3,270,1,C,,12/29/2024,0,5,260,3,W,,12/29/2024,-,-,-,0,-,,12/29/2024,0,6,320,3,C,,
12/30/2024,1,6,240,2,SW,,12/30/2024,0.6,7,260,4,W,,12/30/2024,-,-,-,0,-,,12/30/2024,0.6,19,250,4,SW,,
12/31/2024,1.6,5,270,2,W,,12/31/2024,2,5,250,3,W,,12/31/2024,-,-,-,0,-,,12/31/2024,0.5,13,310,4,C,,
1/1/2025,0,5,290,2,W,,1/1/2025,0,5,270,3,W,,1/1/2025,-,-,-,0,-,,1/1/2025,0,11,240,3,C,,
1/2/2025,0,7,300,1,C,,1/2/2025,0,4,250,2,W,,1/2/2025,-,-,-,0,-,,1/2/2025,5.2,10,285,3,C,,
1/3/2025,0,13,31,2,C,,1/3/2025,0,4,290,3,W,,1/3/2025,-,-,-,0,-,,1/3/2025,0,9,320,3,C,,
1/4/2025,0,4,260,1,C,,1/4/2025,0,5,240,2,C,,1/4/2025,-,-,-,0,-,,1/4/2025,0,11,225,2,C,,
1/5/2025,0,4,250,1,C,,1/5/2025,0,6,300,2,C,,1/5/2025,-,-,-,0,-,,1/5/2025,1.6,11,190,3,C,,
1/6/2025,18.4,5,300,1,C,,1/6/2025,0,8,330,3,W,,1/6/2025,-,-,-,0,-,,1/6/2025,8888,8,20,3,C,,
1/7/2025,0,5,310,2,C,,1/7/2025,0,5,290,3,W,,1/7/2025,-,-,-,0,-,,1/7/2025,25.2,10,280,3,C,,
1/8/2025,9,5,320,1,C,,1/8/2025,13.1,7,270,2,W,,1/8/2025,-,-,-,0,-,,1/8/2025,8888,8,45,2,C,,
1/9/2025,71,3,250,1,C,,1/9/2025,63.7,5,280,1,C,,1/9/2025,-,-,-,0,-,,1/9/2025,27,6,310,1,C,,
1/10/2025,6.5,6,280,1,C,,1/10/2025,5,4,280,1,C,,1/10/2025,-,-,-,0,-,,1/10/2025,2,8,350,3,C,,
1/11/2025,23.2,4,260,1,C,,1/11/2025,1.4,5,320,2,W,,1/11/2025,-,-,-,0,-,,1/11/2025,1,12,330,3,C,,
1/12/2025,2,4,250,1,C,,1/12/2025,10.4,5,280,3,W,,1/12/2025,-,-,-,0,-,,1/12/2025,7,12,220,3,C,,
1/13/2025,0,4,280,2,W,,1/13/2025,8888,6,270,3,W,,1/13/2025,-,-,-,0,-,,1/13/2025,8888,6,240,2,C,,
1/14/2025,29.2,5,320,1,C,,1/14/2025,7,5,260,2,W,,1/14/2025,-,-,-,0,-,,1/14/2025,8888,11,290,2,C,,
1/15/2025,18,5,300,2,SW,,1/15/2025,31.6,5,260,3,W,,1/15/2025,-,-,-,0,-,,1/15/2025,16.4,10,300,2,C,,
1/16/2025,0,4,220,2,W,,1/16/2025,0,5,300,3,NW,,1/16/2025,-,-,-,0,-,,1/16/2025,0,9,310,2,C,,
1/17/2025,0,4,280,1,C,,1/17/2025,0.8,6,260,3,W,,1/17/2025,-,-,-,0,-,,1/17/2025,2.6,8,315,2,C,,
1/18/2025,38.5,3,260,1,C,,1/18/2025,21.4,6,290,3,W,,1/18/2025,-,-,-,0,-,,1/18/2025,14.6,8,300,2,C,,
1/19/2025,6.4,5,310,2,W,,1/19/2025,1.8,5,280,2,W,,1/19/2025,-,-,-,0,-,,1/19/2025,3.4,11,290,3,C,,
1/20/2025,29.2,3,270,1,C,,1/20/2025,59.7,6,270,2,W,,1/20/2025,-,-,-,0,-,,1/20/2025,57.8,9,230,2,C,,
1/21/2025,60,4,290,1,C,,1/21/2025,44.9,5,300,1,C,,1/21/2025,-,-,-,0,-,,1/21/2025,5.2,23,245,2,C,,
1/22/2025,22.1,3,280,1,C,,1/22/2025,9.5,6,270,3,NW,,1/22/2025,-,-,-,0,-,,1/22/2025,21.4,11,250,3,C,,
1/23/2025,0,3,280,1,C,,1/23/2025,8888,6,270,2,W,,1/23/2025,-,5,350,2,W,,1/23/2025,0.4,9,210,3,C,,
1/24/2025,0,3,250,1,C,,1/24/2025,0,4,310,1,W,,1/24/2025,0.4,4,270,2,W,,1/24/2025,4.1,8,80,2,C,,
1/25/2025,2,4,280,1,C,,1/25/2025,0.1,6,260,2,W,,1/25/2025,5.2,4,10,1,C,,1/25/2025,28.6,12,280,2,C,,
1/26/2025,0,4,230,1,C,,1/26/2025,8888,6,260,3,W,,1/26/2025,1.7,9,250,4,W,,1/26/2025,2,12,300,3,C,,
1/27/2025,0.5,3,230,1,C,,1/27/2025,0,6,250,4,W,,1/27/2025,8888,6,250,3,W,,1/27/2025,0,5,345,1,C,,
1/28/2025,0,3,310,1,C,,1/28/2025,0,7,280,3,W,,1/28/2025,0,5,270,2,W,,1/28/2025,3,4,360,2,C,,
1/29/2025,184.8,6,260,2,W,,1/29/2025,91.1,7,290,4,NW,,1/29/2025,33.1,7,300,3,W,,1/29/2025,21.6,7,265,2,C,,
1/30/2025,8.3,5,290,2,C,,1/30/2025,0.9,6,310,3,NW,,1/30/2025,2.3,5,290,3,W,,1/30/2025,28.3,9,330,2,C,,
1/31/2025,9.5,6,260,2,W,,1/31/2025,6.5,5,290,2,C,,1/31/2025,96.2,6,350,3,N,,1/31/2025,6.7,8,180,2,C,,
2/1/2025,1,3,280,1,W,,2/1/2025,6.8,5,220,2,NW,,2/1/2025,0.8,5,330,2,NW,,2/1/2025,9.3,11,40,2,C,,
2/2/2025,1.3,5,330,2,NW,,2/2/2025,8888,5,320,2,NW,,2/2/2025,17.8,5,330,2,N,,2/2/2025,1.6,10,330,2,C,,
2/3/2025,0,3,30,1,C,,2/3/2025,0,5,340,2,W,,2/3/2025,2.2,4,350,2,W,,2/3/2025,0,7,315,2,C,,
2/4/2025,0,6,230,1,C,,2/4/2025,0,5,300,3,W,,2/4/2025,8888,5,250,3,W,,2/4/2025,0,10,350,5,W,,
2/5/2025,1,6,270,2,W,,2/5/2025,5.3,8,320,3,NW,,2/5/2025,19.8,8,330,3,W,,2/5/2025,3.4,19,270,6,W,,
2/6/2025,13.8,5,300,2,C,,2/6/2025,14.5,5,290,2,W,,2/6/2025,27.8,5,330,3,W,,2/6/2025,12.1,8,340,3,C,,
2/7/2025,8.4,4,320,1,C,,2/7/2025,7.4,8,270,2,W,,2/7/2025,22.4,5,350,3,N,,2/7/2025,1.1,6,270,1,C,,
2/8/2025,75.3,3,250,1,C,,2/8/2025,10.2,5,280,2,C,,2/8/2025,47.7,4,230,2,SW,,2/8/2025,3.2,4,300,1,C,,
2/9/2025,0.3,5,280,1,C,,2/9/2025,1.2,5,290,3,NW,,2/9/2025,4.5,5,330,2,NW,,2/9/2025,8888,7,340,2,C,,
2/10/2025,1.7,3,280,1,C,,2/10/2025,3,5,290,2,C,,2/10/2025,7.3,3,340,2,C,,2/10/2025,2.4,11,360,2,C,,
2/11/2025,1.1,4,300,1,C,,2/11/2025,15.5,5,310,2,W,,2/11/2025,52.4,5,20,2,NW,,2/11/2025,0,9,295,3,C,,
2/12/2025,0.8,4,320,1,C,,2/12/2025,0,5,300,2,C,,2/12/2025,0.4,6,70,3,N,,2/12/2025,0,10,220,2,C,,
2/13/2025,0,4,280,1,C,,2/13/2025,0,4,50,2,C,,2/13/2025,0,5,210,2,SW,,2/13/2025,0,10,240,3,C,,
2/14/2025,0,7,250,2,SW,,2/14/2025,0.1,6,240,2,W,,2/14/2025,0.6,8,230,3,W,,2/14/2025,0,7,270,2,C,,
2/15/2025,8888,5,280,1,C,,2/15/2025,0,5,270,2,W,,2/15/2025,0,5,320,2,W,,2/15/2025,0.4,13,360,2,C,,
2/16/2025,1.6,4,220,1,C,,2/16/2025,0.2,5,300,2,NW,,2/16/2025,0.9,4,230,2,W,,2/16/2025,0.2,12,315,2,C,,
2/17/2025,0.6,2,230,1,C,,2/17/2025,1.8,4,280,2,W,,2/17/2025,28,4,240,2,SW,,2/17/2025,8888,6,300,1,C,,
2/18/2025,27.9,5,270,1,C,,2/18/2025,0.5,3,270,1,C,,2/18/2025,6.1,5,280,2,W,,2/18/2025,1.2,13,160,2,C,,
2/19/2025,5,3,240,1,C,,2/19/2025,2.6,5,260,2,W,,2/19/2025,20.6,5,340,2,N,,2/19/2025,3,10,350,2,C,,
2/20/2025,18.6,6,290,1,C,,2/20/2025,10.9,4,280,1,W,,2/20/2025,26.5,4,310,2,N,,2/20/2025,5.8,10,355,3,C,,
2/21/2025,0,5,290,2,C,,2/21/2025,0,5,260,3,W,,2/21/2025,0,6,270,3,W,,2/21/2025,6,10,285,2,C,,
2/22/2025,2,3,340,1,C,,2/22/2025,6,6,270,1,C,,2/22/2025,0,4,230,2,W,,2/22/2025,0,6,272,2,C,,
2/23/2025,5.5,3,310,1,C,,2/23/2025,40.3,3,260,1,W,,2/23/2025,1,4,230,2,C,,2/23/2025,1,5,320,2,C,,
2/24/2025,87.7,4,270,1,C,,2/24/2025,69.7,3,290,1,C,,2/24/2025,10.7,10,200,3,SW,,2/24/2025,1.7,14,285,3,C,,
2/25/2025,0.2,4,340,1,C,,2/25/2025,8888,3,260,1,C,,2/25/2025,1,7,130,2,C,,2/25/2025,45.1,12,170,2,C,,
2/26/2025,0,2,300,1,C,,2/26/2025,0,4,310,1,C,,2/26/2025,73.6,2,250,1,C,,2/26/2025,5.5,4,335,1,C,,
2/27/2025,0,4,230,1,C,,2/27/2025,0,4,300,1,C,,2/27/2025,0.2,6,101,3,W,,2/27/2025,4.7,12,197,2,C,,
2/28/2025,8.4,4,300,1,C,,2/28/2025,7.2,5,320,2,C,,2/28/2025,66,5,240,2,C,,2/28/2025,41,8,245,2,C,,
3/1/2025,2,3,340,1,C,,3/1/2025,1,5,180,2,C,,3/1/2025,2.8,5,50,2,C,,3/1/2025,19.6,5,345,2,C,,
3/2/2025,0,5,300,2,C,,3/2/2025,0,3,150,1,C,,3/2/2025,0,6,210,3,N,,3/2/2025,0,8,360,3,C,,
3/3/2025,0,3,50,1,C,,3/3/2025,0,4,280,1,C,,3/3/2025,1.1,4,10,2,N,,3/3/2025,74.2,10,285,3,C,,
3/4/2025,40.5,3,300,1,C,,3/4/2025,58.5,3,100,1,E,,3/4/2025,40.8,5,40,2,NE,,3/4/2025,53.8,5,290,2,C,,
3/5/2025,8888,3,320,1,C,,3/5/2025,6,3,70,2,E,,3/5/2025,20,8,50,3,NE,,3/5/2025,0.2,9,41,2,C,,
3/6/2025,0,5,300,1,C,,3/6/2025,0,6,230,3,W,,3/6/2025,0,7,250,3,SW,,3/6/2025,0,9,360,3,C,,
3/7/2025,8888,4,250,1,C,,3/7/2025,0,7,260,2,C,,3/7/2025,1.2,8,250,3,S,,3/7/2025,41.8,7,15,3,C,,
3/8/2025,8888,5,310,2,C,,3/8/2025,0,5,280,2,C,,3/8/2025,0,10,200,3,S,,3/8/2025,0,14,50,2,C,,
3/9/2025,8888,4,290,1,C,,3/9/2025,8888,4,60,1,C,,3/9/2025,4.2,8,30,2,C,,3/9/2025,11.7,14,40,2,C,,
3/10/2025,0,3,100,1,C,,3/10/2025,8888,3,160,1,C,,3/10/2025,0,4,350,1,S,,3/10/2025,7.4,4,60,1,C,,
3/11/2025,0,5,290,1,C,,3/11/2025,8888,4,270,2,C,,3/11/2025,4.2,6,20,3,N,,3/11/2025,0.2,12,25,2,C,,
3/12/2025,0,4,300,1,C,,3/12/2025,8888,4,230,2,W,,3/12/2025,0,4,350,1,N,,3/12/2025,26,8,290,2,C,,
3/13/2025,0,5,280,1,C,,3/13/2025,0,4,260,1,C,,3/13/2025,0,5,190,2,W,,3/13/2025,0,11,235,2,C,,
3/14/2025,0,5,300,2,W,,3/14/2025,0,6,240,3,SW,,3/14/2025,2.2,9,250,5,SW,,3/14/2025,46.4,7,130,2,C,,
3/15/2025,1.3,5,240,1,C,,3/15/2025,8.4,8,260,3,W,,3/15/2025,3,8,250,4,SW,,3/15/2025,7.2,14,271,2,C,,
3/16/2025,0.6,5,250,2,C,,3/16/2025,0.1,6,260,3,W,,3/16/2025,1,10,240,4,SW,,3/16/2025,6.5,7,280,1,C,,
3/17/2025,0,5,310,1,C,,3/17/2025,0,6,310,2,C,,3/17/2025,0,8,300,3,NW,,3/17/2025,8888,10,280,2,C,,
3/18/2025,23.1,4,300,1,C,,3/18/2025,24.9,6,250,2,W,,3/18/2025,57,4,240,2,NW,,3/18/2025,130.4,9,270,2,C,,
3/19/2025,1.3,4,290,2,W,,3/19/2025,0.4,6,280,3,W,,3/19/2025,2,8,240,3,W,,3/19/2025,5.2,8,265,2,C,,
3/20/2025,6,4,260,2,W,,3/20/2025,0.9,9,310,4,NW,,3/20/2025,0,5,240,2,W,,3/20/2025,0,10,285,3,C,,
3/21/2025,1.4,5,330,2,NW,,3/21/2025,0,6,290,3,W,,3/21/2025,3.2,8,300,3,NW,,3/21/2025,8888,11,360,2,C,,
3/22/2025,0,4,280,1,C,,3/22/2025,1.5,5,260,2,W,,3/22/2025,0,5,270,2,W,,3/22/2025,0,6,310,1,C,,
3/23/2025,20.3,5,300,2,C,,3/23/2025,13.2,4,300,3,W,,3/23/2025,6.2,4,300,2,W,,3/23/2025,0.5,11,335,3,C,,
3/24/2025,1.2,3,270,1,C,,3/24/2025,1.5,6,290,3,W,,3/24/2025,0.2,5,340,2,W,,3/24/2025,8888,6,212,2,C,,
